0_1	+ 1
3_1*5_1m	- A^(-24) + A^(-20) - 2*A^(-16) + 3*A^(-12) - 2*A^(-8) + 3*A^(-4) - 1 + A^(4) - A^(8)
3_1*5_2	+ A^(8) - A^(12) + 3*A^(16) - 3*A^(20) + 4*A^(24) - 4*A^(28) + 2*A^(32) - 2*A^(36) + A^(40)
3_1*5_2m	- A^(-20) + A^(-16) - 2*A^(-12) + 4*A^(-8) - 3*A^(-4) + 4 - 3*A^(4) + 2*A^(8) - A^(12)
3_1m*5_1	- A^(-8) + A^(-4) - 1 + 3*A^(4) - 2*A^(8) + 3*A^(12) - 2*A^(16) + A^(20) - A^(24)
3_1m*5_1m	+ A^(-44) - 2*A^(-40) + 2*A^(-36) - 3*A^(-32) + 2*A^(-28) - 2*A^(-24) + 2*A^(-20) + A^(-12)
3_1m*5_2	- A^(-12) + 2*A^(-8) - 3*A^(-4) + 4 - 3*A^(4) + 4*A^(8) - 2*A^(12) + A^(16) - A^(20)
3_1m*5_2m	+ A^(-40) - 2*A^(-36) + 2*A^(-32) - 4*A^(-28) + 4*A^(-24) - 3*A^(-20) + 3*A^(-16) - A^(-12) + A^(-8)
9_1	+ A^(16) + A^(24) - A^(28) + A^(32) - A^(36) + A^(40) - A^(44) + A^(48) - A^(52)
9_1m	- A^(-52) + A^(-48) - A^(-44) + A^(-40) - A^(-36) + A^(-32) - A^(-28) + A^(-24) + A^(-16)
9_2|11n_13m|4_1*8_19m	+ A^(4) - A^(8) + 2*A^(12) - 2*A^(16) + 2*A^(20) - 2*A^(24) + 2*A^(28) - A^(32) + A^(36) - A^(40)
9_2m|11n_13|4_1*8_19	- A^(-40) + A^(-36) - A^(-32) + 2*A^(-28) - 2*A^(-24) + 2*A^(-20) - 2*A^(-16) + 2*A^(-12) - A^(-8) + A^(-4)
9_3|12n_251	- A^(-48) + A^(-44) - 2*A^(-40) + 3*A^(-36) - 3*A^(-32) + 3*A^(-28) - 2*A^(-24) + 2*A^(-20) - A^(-16) + A^(-12)
9_3m|12n_251m	+ A^(12) - A^(16) + 2*A^(20) - 2*A^(24) + 3*A^(28) - 3*A^(32) + 3*A^(36) - 2*A^(40) + A^(44) - A^(48)
9_4	+ A^(8) - A^(12) + 2*A^(16) - 3*A^(20) + 4*A^(24) - 3*A^(28) + 3*A^(32) - 2*A^(36) + A^(40) - A^(44)
9_4m	- A^(-44) + A^(-40) - 2*A^(-36) + 3*A^(-32) - 3*A^(-28) + 4*A^(-24) - 3*A^(-20) + 2*A^(-16) - A^(-12) + A^(-8)
9_5|12n_172|12n_522m|12n_590	- A^(-40) + A^(-36) - 2*A^(-32) + 3*A^(-28) - 3*A^(-24) + 4*A^(-20) - 3*A^(-16) + 3*A^(-12) - 2*A^(-8) + A^(-4)
