k0.1	1
k5.71m	+ A^(6)*v - A^(6)*v^(3) + A^(8) - 2*A^(8)*v^(2) + A^(12)*v^(2) + A^(14)*v
k5.72	+ A^(-14)*v + A^(-12)*v^(2) - A^(-10)*v^(3) + A^(-8) - A^(-8)*v^(2) - A^(-8)*v^(4) + A^(-6)*v + A^(-4)*v^(4) - v^(2)
k5.72m	- v^(2) + A^(4)*v^(4) + A^(6)*v + A^(8) - A^(8)*v^(2) - A^(8)*v^(4) - A^(10)*v^(3) + A^(12)*v^(2) + A^(14)*v
k5.73	+ A^(-14)*v + A^(-12)*v^(2) - A^(-10)*v^(3) - A^(-8)*v^(4) + A^(-6)*v^(3) - A^(-4) + A^(-4)*v^(2) + A^(-4)*v^(4) - v^(2)
k5.73m	- v^(2) - A^(4) + A^(4)*v^(2) + A^(4)*v^(4) + A^(6)*v^(3) - A^(8)*v^(4) - A^(10)*v^(3) + A^(12)*v^(2) + A^(14)*v
k5.74	+ A^(-14)*v - 2*A^(-10)*v + 2*A^(-6)*v + A^(-4) - 2*A^(-2)*v - 1 + A^(2)*v + A^(4)
k5.74m	+ A^(-4) + A^(-2)*v - 1 - 2*A^(2)*v + A^(4) + 2*A^(6)*v - 2*A^(10)*v + A^(14)*v
k5.75	+ A^(-14)*v - 2*A^(-10)*v + 3*A^(-6)*v + A^(-4) + A^(-4)*v^(2) - 2*A^(-2)*v - 1 - v^(2) + A^(4)
k5.75m	+ A^(-4) - 1 - v^(2) - 2*A^(2)*v + A^(4) + A^(4)*v^(2) + 3*A^(6)*v - 2*A^(10)*v + A^(14)*v
k5.76	+ A^(-14)*v - 2*A^(-10)*v + 3*A^(-6)*v + A^(-4) - A^(-2)*v - A^(-2)*v^(3) - 1 - v^(2) + A^(2)*v + A^(4)
k5.76m	A^(-4) + A^(-2)*v - 1 - v^(2) - A^(2)*v - A^(2)*v^(3) + A^(4) + 3*A^(6)*v - 2*A^(10)*v + A^(14)*v
k5.77	+ A^(-14)*v - 2*A^(-10)*v - A^(-8) + 2*A^(-6)*v + A^(-4) + A^(-4)*v^(2) - A^(-2)*v - v^(2) + A^(4)
k5.77m	+ A^(-4) - v^(2) - A^(2)*v + A^(4) + A^(4)*v^(2) + 2*A^(6)*v - A^(8) - 2*A^(10)*v + A^(14)*v
k5.78	+ A^(-14)*v - 2*A^(-10)*v - A^(-8) + 2*A^(-6)*v + A^(-4) - A^(-2)*v^(3) - v^(2) + A^(2)*v + A^(4)
k5.78m	+ A^(-4) + A^(-2)*v - v^(2) - A^(2)*v^(3) + A^(4) + 2*A^(6)*v - A^(8) - 2*A^(10)*v + A^(14)*v
k5.79	+ A^(-14)*v - A^(-10)*v - A^(-10)*v^(3) - A^(-8)*v^(2) - A^(-6)*v + 2*A^(-6)*v^(3) - A^(-4) + 2*A^(-4)*v^(2) - A^(-2)*v^(3) - v^(2)
k5.79m	- v^(2) - A^(2)*v^(3) - A^(4) + 2*A^(4)*v^(2) - A^(6)*v + 2*A^(6)*v^(3) - A^(8)*v^(2) - A^(10)*v - A^(10)*v^(3) + A^(14)*v
k5.80	+ A^(-14)*v - A^(-10)*v^(3) + A^(-8) - A^(-8)*v^(2) + A^(-6)*v + A^(-6)*v^(3) + A^(-4)*v^(2) - A^(-2)*v^(3) - v^(2)
k5.80m	- v^(2) - A^(2)*v^(3) + A^(4)*v^(2) + A^(6)*v + A^(6)*v^(3) + A^(8) - A^(8)*v^(2) - A^(10)*v^(3) + A^(14)*v
k5.81	+ A^(-14)*v - A^(-12) + A^(-12)*v^(2) - 2*A^(-10)*v - 2*A^(-8)*v^(2) + A^(-4)*v^(2)
k5.81m	+ A^(4)*v^(2) - 2*A^(8)*v^(2) - 2*A^(10)*v - A^(12) + A^(12)*v^(2) + A^(14)*v
k5.82	+ A^(-14)*v - A^(-12) + A^(-12)*v^(2) - A^(-10)*v - A^(-10)*v^(3) - A^(-8)*v^(4) + A^(-6)*v^(3) + A^(-4)*v^(4) - A^(-2)*v - v^(2)
k5.82m	- v^(2) - A^(2)*v + A^(4)*v^(4) + A^(6)*v^(3) - A^(8)*v^(4) - A^(10)*v - A^(10)*v^(3) - A^(12) + A^(12)*v^(2) + A^(14)*v
k5.83	+ A^(-14)*v - A^(-12) + A^(-12)*v^(2) - A^(-10)*v^(3) + A^(-8)*v^(2) - A^(-8)*v^(4) + A^(-6)*v + A^(-6)*v^(3) + A^(-4)*v^(4) - A^(-2)*v - v^(2)
k5.83m	- v^(2) - A^(2)*v + A^(4)*v^(4) + A^(6)*v + A^(6)*v^(3) + A^(8)*v^(2) - A^(8)*v^(4) - A^(10)*v^(3) - A^(12) + A^(12)*v^(2) + A^(14)*v
k5.84	+ A^(-14)*v - A^(-14)*v^(3) + 2*A^(-12)*v^(2) - A^(-12)*v^(4) - A^(-10)*v + A^(-10)*v^(3) + A^(-8) - 2*A^(-8)*v^(2) + A^(-8)*v^(4)
k5.84m	+ A^(8) - 2*A^(8)*v^(2) + A^(8)*v^(4) - A^(10)*v + A^(10)*v^(3) + 2*A^(12)*v^(2) - A^(12)*v^(4) + A^(14)*v - A^(14)*v^(3)
k5.85	+ A^(-14)*v - A^(-14)*v^(3) - A^(-12) + 2*A^(-12)*v^(2) - A^(-12)*v^(4) - 2*A^(-10)*v + A^(-10)*v^(3) - 2*A^(-8)*v^(2) + A^(-8)*v^(4)
k5.85m	- 2*A^(8)*v^(2) + A^(8)*v^(4) - 2*A^(10)*v + A^(10)*v^(3) - A^(12) + 2*A^(12)*v^(2) - A^(12)*v^(4) + A^(14)*v - A^(14)*v^(3)
k5.86	+ A^(-16) + A^(-14)*v - 2*A^(-10)*v - A^(-8)*v^(2) + A^(-6)*v + A^(-4)*v^(2)
k5.86m	+ A^(4)*v^(2) + A^(6)*v - A^(8)*v^(2) - 2*A^(10)*v + A^(14)*v + A^(16)
k5.87	+ A^(-16) + A^(-14)*v - A^(-12)*v^(2) - A^(-10)*v - A^(-10)*v^(3) + A^(-6)*v + A^(-6)*v^(3) - A^(-2)*v^(3) + A^(2)*v
k5.87m	A^(-2)*v - A^(2)*v^(3) + A^(6)*v + A^(6)*v^(3) - A^(10)*v - A^(10)*v^(3) - A^(12)*v^(2) + A^(14)*v + A^(16)
k5.88	+ A^(-16) + A^(-14)*v - A^(-12)*v^(2) - A^(-10)*v - A^(-10)*v^(3) + A^(-8)*v^(2) + 2*A^(-6)*v^(3) - A^(-2)*v - A^(-2)*v^(3) + A^(2)*v
k5.88m	+ A^(-2)*v - A^(2)*v - A^(2)*v^(3) + 2*A^(6)*v^(3) + A^(8)*v^(2) - A^(10)*v - A^(10)*v^(3) - A^(12)*v^(2) + A^(14)*v + A^(16)
k5.89	+ A^(-16) + A^(-14)*v - A^(-12)*v^(2) - A^(-10)*v^(3) + A^(-8)*v^(2) + A^(-6)*v + A^(-6)*v^(3) - A^(-4)*v^(2) - A^(-2)*v - A^(-2)*v^(3) + A^(2)*v
k5.89m	+ A^(-2)*v - A^(2)*v - A^(2)*v^(3) - A^(4)*v^(2) + A^(6)*v + A^(6)*v^(3) + A^(8)*v^(2) - A^(10)*v^(3) - A^(12)*v^(2) + A^(14)*v + A^(16)
k5.90	+ A^(-16) - A^(-12)*v^(2) - A^(-10)*v + A^(-8)*v^(2) + A^(-6)*v - A^(-4)*v^(2) - A^(-2)*v + v^(2) + A^(2)*v
k5.90m	+ A^(-2)*v + v^(2) - A^(2)*v - A^(4)*v^(2) + A^(6)*v + A^(8)*v^(2) - A^(10)*v - A^(12)*v^(2) + A^(16)
k5.91	+ A^(-16) - A^(-16)*v^(2) + 2*A^(-14)*v - A^(-14)*v^(3) + A^(-12)*v^(2) - A^(-10)*v + A^(-10)*v^(3) - A^(-8)*v^(2) + A^(-6)*v - A^(-6)*v^(3)
k5.91m	+ A^(6)*v - A^(6)*v^(3) - A^(8)*v^(2) - A^(10)*v + A^(10)*v^(3) + A^(12)*v^(2) + 2*A^(14)*v - A^(14)*v^(3) + A^(16) - A^(16)*v^(2)
k5.92	+ A^(-16) - A^(-16)*v^(2) + A^(-14)*v - A^(-14)*v^(3) + A^(-12)*v^(2) - 2*A^(-10)*v + 2*A^(-10)*v^(3) + A^(-6)*v - A^(-6)*v^(3)
k5.92m	+ A^(6)*v - A^(6)*v^(3) - 2*A^(10)*v + 2*A^(10)*v^(3) + A^(12)*v^(2) + A^(14)*v - A^(14)*v^(3) + A^(16) - A^(16)*v^(2)
k5.93	- A^(-12)*v^(2) + A^(-10)*v - A^(-10)*v^(3) + A^(-8)*v^(2) + A^(-6)*v^(3) - A^(-4)*v^(2) - A^(-2)*v^(3) + 1 + A^(2)*v
k5.93m	+ A^(-2)*v + 1 - A^(2)*v^(3) - A^(4)*v^(2) + A^(6)*v^(3) + A^(8)*v^(2) + A^(10)*v - A^(10)*v^(3) - A^(12)*v^(2)
k5.94	+ A^(-2)*v - 1 + v^(2) + A^(4) - A^(4)*v^(2) + 2*A^(6)*v - A^(6)*v^(3) - A^(8) + A^(8)*v^(2) - 2*A^(10)*v + A^(10)*v^(3)
k5.94m	- 2*A^(-10)*v + A^(-10)*v^(3) - A^(-8) + A^(-8)*v^(2) + 2*A^(-6)*v - A^(-6)*v^(3) + A^(-4) - A^(-4)*v^(2) - 1 + v^(2) + A^(2)*v
k5.95	+ A^(-12) - A^(-12)*v^(2) - A^(-8) + 2*A^(-8)*v^(2) + A^(-6)*v - A^(-4)*v^(2) - A^(-2)*v - 1 + v^(2) + A^(2)*v
k5.95m	+ A^(-2)*v - 1 + v^(2) - A^(2)*v - A^(4)*v^(2) + A^(6)*v - A^(8) + 2*A^(8)*v^(2) + A^(12) - A^(12)*v^(2)
k5.96	+ A^(-8)*v^(2) - A^(-6)*v + A^(-6)*v^(3) - A^(-4) - A^(-4)*v^(2) - A^(-2)*v - A^(-2)*v^(3) + A^(2)*v
k5.96m	+ A^(-2)*v - A^(2)*v - A^(2)*v^(3) - A^(4) - A^(4)*v^(2) - A^(6)*v + A^(6)*v^(3) + A^(8)*v^(2)
k5.97	- A^(-12)*v^(2) - A^(-10)*v^(3) + A^(-8)*v^(2) - A^(-6)*v + 2*A^(-6)*v^(3) - A^(-4) - A^(-2)*v - A^(-2)*v^(3) + A^(2)*v
k5.97m	+ A^(-2)*v - A^(2)*v - A^(2)*v^(3) - A^(4) - A^(6)*v + 2*A^(6)*v^(3) + A^(8)*v^(2) - A^(10)*v^(3) - A^(12)*v^(2)
k5.98	- A^(-12)*v^(2) - A^(-10)*v^(3) + A^(-8) + A^(-6)*v + A^(-6)*v^(3) - A^(-2)*v^(3) + A^(2)*v
k5.98m	+ A^(-2)*v - A^(2)*v^(3) + A^(6)*v + A^(6)*v^(3) + A^(8) - A^(10)*v^(3) - A^(12)*v^(2)
k5.99	+ A^(-8)*v^(2) - A^(-6)*v + A^(-6)*v^(3) - A^(-4) + A^(-4)*v^(2) - A^(-4)*v^(4) - 2*A^(-2)*v + 2*A^(-2)*v^(3) - A^(-2)*v^(5) + v^(2) + A^(2)*v^(3)
k5.99m	+ A^(-2)*v^(3) + v^(2) - 2*A^(2)*v + 2*A^(2)*v^(3) - A^(2)*v^(5) - A^(4) + A^(4)*v^(2) - A^(4)*v^(4) - A^(6)*v + A^(6)*v^(3) + A^(8)*v^(2)
k5.100	+ A^(-8)*v^(2) + A^(-6)*v - A^(-4) + A^(-4)*v^(2) - A^(-4)*v^(4) - A^(-2)*v^(3) - v^(2) + v^(4) + A^(2)*v^(3)
k5.100m	+ A^(-2)*v^(3) - v^(2) + v^(4) - A^(2)*v^(3) - A^(4) + A^(4)*v^(2) - A^(4)*v^(4) + A^(6)*v + A^(8)*v^(2)
k5.101	+ A^(-20) + A^(-18)*v - A^(-16) - 2*A^(-14)*v + A^(-12) - A^(-12)*v^(2) + A^(-10)*v + A^(-8)*v^(2)
k5.101m	+ A^(8)*v^(2) + A^(10)*v + A^(12) - A^(12)*v^(2) - 2*A^(14)*v - A^(16) + A^(18)*v + A^(20)
k5.102	+ A^(-20) + A^(-18)*v - A^(-16) - A^(-14)*v + A^(-12) + A^(-10)*v - A^(-8)*v^(2) - A^(-6)*v^(3) + A^(-2)*v
k5.102m	+ A^(2)*v - A^(6)*v^(3) - A^(8)*v^(2) + A^(10)*v + A^(12) - A^(14)*v - A^(16) + A^(18)*v + A^(20)
k5.103	+ A^(-20) - A^(-16) - A^(-16)*v^(2) + 2*A^(-12)*v^(2) + A^(-10)*v - A^(-8) - A^(-8)*v^(2) - A^(-6)*v + A^(-4)*v^(2) + A^(-2)*v
k5.103m	+ A^(2)*v + A^(4)*v^(2) - A^(6)*v - A^(8) - A^(8)*v^(2) + A^(10)*v + 2*A^(12)*v^(2) - A^(16) - A^(16)*v^(2) + A^(20)
k5.104	+ A^(-20) - A^(-16) - A^(-16)*v^(2) + A^(-12) + 2*A^(-12)*v^(2) + 2*A^(-10)*v - 2*A^(-8)*v^(2) - A^(-6)*v - A^(-6)*v^(3) + A^(-2)*v
k5.104m	+ A^(2)*v - A^(6)*v - A^(6)*v^(3) - 2*A^(8)*v^(2) + 2*A^(10)*v + A^(12) + 2*A^(12)*v^(2) - A^(16) - A^(16)*v^(2) + A^(20)
k5.105	+ A^(-20) - A^(-16) - A^(-16)*v^(2) + A^(-12) + 2*A^(-12)*v^(2) + A^(-10)*v - 2*A^(-8)*v^(2) - 2*A^(-6)*v + A^(-4)*v^(2) + A^(-2)*v
k5.105m	+ A^(2)*v + A^(4)*v^(2) - 2*A^(6)*v - 2*A^(8)*v^(2) + A^(10)*v + A^(12) + 2*A^(12)*v^(2) - A^(16) - A^(16)*v^(2) + A^(20)
k5.106	+ A^(-20) - A^(-16) - A^(-16)*v^(2) - A^(-14)*v + A^(-12) + A^(-12)*v^(2) + 2*A^(-10)*v - A^(-8)*v^(2) - A^(-6)*v^(3) + A^(-2)*v
k5.106m	+ A^(2)*v - A^(6)*v^(3) - A^(8)*v^(2) + 2*A^(10)*v + A^(12) + A^(12)*v^(2) - A^(14)*v - A^(16) - A^(16)*v^(2) + A^(20)
k5.107	+ A^(-20) - A^(-16) - A^(-16)*v^(2) - A^(-14)*v + A^(-12) + A^(-12)*v^(2) + A^(-10)*v - A^(-8)*v^(2) - A^(-6)*v + A^(-4)*v^(2) + A^(-2)*v
k5.107m	+ A^(2)*v + A^(4)*v^(2) - A^(6)*v - A^(8)*v^(2) + A^(10)*v + A^(12) + A^(12)*v^(2) - A^(14)*v - A^(16) - A^(16)*v^(2) + A^(20)
k5.108	+ A^(-20)*v^(2) - A^(-18)*v + A^(-18)*v^(3) - A^(-16) - A^(-16)*v^(2) - A^(-14)*v^(3) + A^(-12) + A^(-10)*v - A^(-8) - A^(-6)*v
k5.108m	- A^(6)*v - A^(8) + A^(10)*v + A^(12) - A^(14)*v^(3) - A^(16) - A^(16)*v^(2) - A^(18)*v + A^(18)*v^(3) + A^(20)*v^(2)
k5.109	+ A^(-22)*v + A^(-20) - 2*A^(-18)*v - A^(-16) - A^(-16)*v^(2) + A^(-14)*v + 2*A^(-12) + A^(-12)*v^(2) - 2*A^(-8) + A^(-4)
k5.109m	+ A^(4) - 2*A^(8) + 2*A^(12) + A^(12)*v^(2) + A^(14)*v - A^(16) - A^(16)*v^(2) - 2*A^(18)*v + A^(20) + A^(22)*v
k5.110	+ A^(-22)*v + A^(-20) - A^(-18)*v - 2*A^(-16) + 2*A^(-12) - A^(-8) + A^(-4)
k5.110m	+ A^(4) - A^(8) + 2*A^(12) - 2*A^(16) - A^(18)*v + A^(20) + A^(22)*v
k5.111	+ A^(-22)*v + A^(-20) - A^(-18)*v - A^(-16) + A^(-14)*v + 2*A^(-12) - A^(-10)*v - 2*A^(-8) + A^(-4)
k5.111m	+ A^(4) - 2*A^(8) - A^(10)*v + 2*A^(12) + A^(14)*v - A^(16) - A^(18)*v + A^(20) + A^(22)*v
k5.112	+ A^(-22)*v + A^(-20)*v^(2) - A^(-18)*v - 2*A^(-16)*v^(2) + A^(-12) + A^(-12)*v^(2) - A^(-8) + A^(-4)
k5.112m	+ A^(4) - A^(8) + A^(12) + A^(12)*v^(2) - 2*A^(16)*v^(2) - A^(18)*v + A^(20)*v^(2) + A^(22)*v
k5.113	+ A^(-26)*v + A^(-24) - A^(-22)*v - A^(-20) + A^(-18)*v + A^(-16) - A^(-14)*v - A^(-12) + A^(-8)
k5.113m	+ A^(8) - A^(12) - A^(14)*v + A^(16) + A^(18)*v - A^(20) - A^(22)*v + A^(24) + A^(26)*v
k5.114	+ A^(-26)*v - 2*A^(-22)*v - A^(-20) + 2*A^(-18)*v + 2*A^(-16) - A^(-14)*v - A^(-12) + A^(-8)
k5.114m	+ A^(8) - A^(12) - A^(14)*v + 2*A^(16) + 2*A^(18)*v - A^(20) - 2*A^(22)*v + A^(26)*v
k5.115	- A^(-12) - A^(-10)*v + A^(-8) + 2*A^(-6)*v - 2*A^(-2)*v + A^(2)*v + A^(4)
k5.115m	+ A^(-4) + A^(-2)*v - 2*A^(2)*v + 2*A^(6)*v + A^(8) - A^(10)*v - A^(12)
k5.116	- A^(-12)*v^(2) - A^(-10)*v - A^(-8) + 2*A^(-8)*v^(2) + 2*A^(-6)*v + A^(-4) - A^(-4)*v^(2) - 2*A^(-2)*v + A^(2)*v + A^(4)
k5.116m	+ A^(-4) + A^(-2)*v - 2*A^(2)*v + A^(4) - A^(4)*v^(2) + 2*A^(6)*v - A^(8) + 2*A^(8)*v^(2) - A^(10)*v - A^(12)*v^(2)
k5.117	- A^(-12) + A^(-8) + A^(-8)*v^(2) + 2*A^(-6)*v - A^(-4)*v^(2) - 3*A^(-2)*v + A^(2)*v + A^(4)
k5.117m	+ A^(-4) + A^(-2)*v - 3*A^(2)*v - A^(4)*v^(2) + 2*A^(6)*v + A^(8) + A^(8)*v^(2) - A^(12)
k5.118	+ A^(-4) + A^(-2)*v - A^(2)*v + A^(4) - A^(4)*v^(2) + 2*A^(6)*v - A^(6)*v^(3) - A^(8) + A^(8)*v^(2) - 2*A^(10)*v + A^(10)*v^(3)
k5.118m	- 2*A^(-10)*v + A^(-10)*v^(3) - A^(-8) + A^(-8)*v^(2) + 2*A^(-6)*v - A^(-6)*v^(3) + A^(-4) - A^(-4)*v^(2) - A^(-2)*v + A^(2)*v + A^(4)
k5.119	- A^(-10)*v + A^(-8) - A^(-8)*v^(2) + A^(-6)*v^(3) - A^(-4)*v^(2) + A^(-4)*v^(4) - A^(-2)*v^(3) + v^(2) - v^(4) + A^(2)*v + A^(4)*v^(2)
k5.119m	+ A^(-4)*v^(2) + A^(-2)*v + v^(2) - v^(4) - A^(2)*v^(3) - A^(4)*v^(2) + A^(4)*v^(4) + A^(6)*v^(3) + A^(8) - A^(8)*v^(2) - A^(10)*v
k5.120	- A^(-10)*v + A^(-6)*v^(3) + A^(-2)*v - 2*A^(-2)*v^(3) + 1 - v^(2) + A^(2)*v^(3) + A^(4)*v^(2)
k5.120m	+ A^(-4)*v^(2) + A^(-2)*v^(3) + 1 - v^(2) + A^(2)*v - 2*A^(2)*v^(3) + A^(6)*v^(3) - A^(10)*v
k5.121	- A^(-10)*v - A^(-6)*v + 2*A^(-6)*v^(3) - A^(-4) + A^(-4)*v^(2) - A^(-2)*v + A^(-2)*v^(3) - A^(-2)*v^(5) + v^(2) - v^(4) + A^(2)*v^(3) + A^(4)*v^(2)
k5.121m	+ A^(-4)*v^(2) + A^(-2)*v^(3) + v^(2) - v^(4) - A^(2)*v + A^(2)*v^(3) - A^(2)*v^(5) - A^(4) + A^(4)*v^(2) - A^(6)*v + 2*A^(6)*v^(3) - A^(10)*v
k5.122	+ A^(-8) - A^(-8)*v^(2) + A^(-6)*v - A^(-6)*v^(3) - A^(-2)*v + A^(-2)*v^(3) + A^(2)*v - A^(2)*v^(3) + A^(6)*v
k5.122m	+ A^(-6)*v + A^(-2)*v - A^(-2)*v^(3) - A^(2)*v + A^(2)*v^(3) + A^(6)*v - A^(6)*v^(3) + A^(8) - A^(8)*v^(2)
k5.123	+ A^(-6)*v - A^(-6)*v^(3) + A^(-4)*v^(2) - A^(-4)*v^(4) + A^(-2)*v + 1 - v^(2) + v^(4) - A^(4)*v^(2)
k5.123m	- A^(-4)*v^(2) + 1 - v^(2) + v^(4) + A^(2)*v + A^(4)*v^(2) - A^(4)*v^(4) + A^(6)*v - A^(6)*v^(3)
k5.124	+ A^(-6)*v - A^(-6)*v^(3) - A^(-4) + 2*A^(-4)*v^(2) - A^(-4)*v^(4) - A^(-2)*v + A^(-2)*v^(3) - v^(2) + v^(4) - A^(2)*v - A^(4)*v^(2)
k5.124m	- A^(-4)*v^(2) - A^(-2)*v - v^(2) + v^(4) - A^(2)*v + A^(2)*v^(3) - A^(4) + 2*A^(4)*v^(2) - A^(4)*v^(4) + A^(6)*v - A^(6)*v^(3)
k5.125	- v^(2) - A^(2)*v^(3) + 2*A^(6)*v + A^(8)
k5.125m	+ A^(-8) + 2*A^(-6)*v - A^(-2)*v^(3) - v^(2)
k5.126	+ A^(-8) + A^(-6)*v - 2*A^(-4) + A^(-4)*v^(2) - A^(-2)*v + 1 - v^(2) + A^(2)*v - A^(4) + A^(4)*v^(2)
k5.126m	- A^(-4) + A^(-4)*v^(2) + A^(-2)*v + 1 - v^(2) - A^(2)*v - 2*A^(4) + A^(4)*v^(2) + A^(6)*v + A^(8)
k5.127	+ A^(-8) + A^(-6)*v - A^(-4) - A^(-2)*v^(3) + 2 - 2*v^(2) + A^(2)*v - A^(4) + A^(4)*v^(2)
k5.127m	- A^(-4) + A^(-4)*v^(2) + A^(-2)*v + 2 - 2*v^(2) - A^(2)*v^(3) - A^(4) + A^(6)*v + A^(8)
k5.128	+ A^(-8) - 2*A^(-4) - 2*A^(-2)*v + 1 - v^(2) + A^(2)*v - A^(4) + A^(4)*v^(2)
k5.128m	- A^(-4) + A^(-4)*v^(2) + A^(-2)*v + 1 - v^(2) - 2*A^(2)*v - 2*A^(4) + A^(8)
k5.129	+ A^(-8) - A^(-4) - A^(-2)*v + 2 - v^(2) + A^(2)*v - A^(4) + A^(4)*v^(2)
k5.129m	- A^(-4) + A^(-4)*v^(2) + A^(-2)*v + 2 - v^(2) - A^(2)*v - A^(4) + A^(8)
k5.130	+ A^(-8) - A^(-4) - A^(-4)*v^(2) + A^(-2)*v - A^(-2)*v^(3) + 2 + 2*A^(2)*v - A^(4) - A^(6)*v
k5.130m	- A^(-6)*v - A^(-4) + 2*A^(-2)*v + 2 + A^(2)*v - A^(2)*v^(3) - A^(4) - A^(4)*v^(2) + A^(8)
k5.131	+ A^(-8)*v^(2) + A^(-6)*v + A^(-4)*v^(2) - A^(-4)*v^(4) - A^(-2)*v^(3) + 1 - 2*v^(2) + v^(4) - A^(2)*v + A^(2)*v^(3)
k5.131m	- A^(-2)*v + A^(-2)*v^(3) + 1 - 2*v^(2) + v^(4) - A^(2)*v^(3) + A^(4)*v^(2) - A^(4)*v^(4) + A^(6)*v + A^(8)*v^(2)
k5.132	+ A^(-8)*v^(2) + A^(-6)*v^(3) - A^(-4) + 2*A^(-4)*v^(2) - A^(-4)*v^(4) - 2*A^(-2)*v + 2*A^(-2)*v^(3) - A^(-2)*v^(5) - A^(2)*v + A^(2)*v^(3)
k5.132m	- A^(-2)*v + A^(-2)*v^(3) - 2*A^(2)*v + 2*A^(2)*v^(3) - A^(2)*v^(5) - A^(4) + 2*A^(4)*v^(2) - A^(4)*v^(4) + A^(6)*v^(3) + A^(8)*v^(2)
k5.133	+ A^(-8)*v^(2) + A^(-6)*v^(3) - A^(-4) + A^(-4)*v^(2) - A^(-4)*v^(4) - A^(-2)*v + A^(-2)*v^(3) - A^(-2)*v^(5) + v^(2) - A^(2)*v + 2*A^(2)*v^(3) - A^(6)*v
k5.133m	- A^(-6)*v - A^(-2)*v + 2*A^(-2)*v^(3) + v^(2) - A^(2)*v + A^(2)*v^(3) - A^(2)*v^(5) - A^(4) + A^(4)*v^(2) - A^(4)*v^(4) + A^(6)*v^(3) + A^(8)*v^(2)
k5.134	+ A^(-8)*v^(2) + A^(-6)*v^(3) - A^(-4)*v^(2) + A^(-2)*v - 2*A^(-2)*v^(3) + 1 + A^(2)*v^(3) - A^(6)*v
k5.134m	- A^(-6)*v + A^(-2)*v^(3) + 1 + A^(2)*v - 2*A^(2)*v^(3) - A^(4)*v^(2) + A^(6)*v^(3) + A^(8)*v^(2)
k5.135	+ A^(-8)*v^(2) - A^(-4) - A^(-4)*v^(4) - A^(-2)*v^(3) + v^(4) + A^(2)*v^(3) - A^(4)*v^(2) - A^(6)*v
k5.135m	- A^(-6)*v - A^(-4)*v^(2) + A^(-2)*v^(3) + v^(4) - A^(2)*v^(3) - A^(4) - A^(4)*v^(4) + A^(8)*v^(2)
k5.136	+ A^(-8)*v^(2) - A^(-4)*v^(4) + A^(-2)*v - A^(-2)*v^(3) + 1 + v^(4) + A^(2)*v^(3) - A^(4)*v^(2) - A^(6)*v
k5.136m	- A^(-6)*v - A^(-4)*v^(2) + A^(-2)*v^(3) + 1 + v^(4) + A^(2)*v - A^(2)*v^(3) - A^(4)*v^(4) + A^(8)*v^(2)
k5.137	+ A^(-8)*v^(2) - A^(-6)*v + A^(-6)*v^(3) - 2*A^(-4)*v^(2) + A^(-2)*v - 2*A^(-2)*v^(3) + v^(2) + A^(2)*v^(3) - A^(4) - A^(6)*v
k5.137m	- A^(-6)*v - A^(-4) + A^(-2)*v^(3) + v^(2) + A^(2)*v - 2*A^(2)*v^(3) - 2*A^(4)*v^(2) - A^(6)*v + A^(6)*v^(3) + A^(8)*v^(2)
k5.138	+ A^(-8)*v^(2) - A^(-6)*v + A^(-6)*v^(3) - A^(-4)*v^(4) + A^(-2)*v^(3) - A^(-2)*v^(5) + 2*v^(2) - A^(2)*v + 2*A^(2)*v^(3) - A^(4) - A^(6)*v
k5.138m	- A^(-6)*v - A^(-4) - A^(-2)*v + 2*A^(-2)*v^(3) + 2*v^(2) + A^(2)*v^(3) - A^(2)*v^(5) - A^(4)*v^(4) - A^(6)*v + A^(6)*v^(3) + A^(8)*v^(2)
k5.139	- A^(-18)*v - A^(-16)*v^(2) + A^(-14)*v + A^(-12) + A^(-12)*v^(2) - A^(-8) - A^(-8)*v^(2) + A^(-6)*v - A^(-6)*v^(3) + A^(-4) + A^(-2)*v
k5.139m	+ A^(2)*v + A^(4) + A^(6)*v - A^(6)*v^(3) - A^(8) - A^(8)*v^(2) + A^(12) + A^(12)*v^(2) + A^(14)*v - A^(16)*v^(2) - A^(18)*v
k5.140	- A^(-16) + A^(-12) - A^(-8)*v^(2) + A^(-6)*v - A^(-6)*v^(3) + A^(-4) + A^(-2)*v
k5.140m	+ A^(2)*v + A^(4) + A^(6)*v - A^(6)*v^(3) - A^(8)*v^(2) + A^(12) - A^(16)
k5.141	- A^(-18)*v - A^(-16) + A^(-14)*v^(3) + A^(-12) + A^(-12)*v^(2) + A^(-10)*v - A^(-10)*v^(3) - A^(-8) - A^(-8)*v^(2) + A^(-4)*v^(2) + A^(-2)*v
k5.141m	+ A^(2)*v + A^(4)*v^(2) - A^(8) - A^(8)*v^(2) + A^(10)*v - A^(10)*v^(3) + A^(12) + A^(12)*v^(2) + A^(14)*v^(3) - A^(16) - A^(18)*v
k5.142	- A^(-16) + A^(-16)*v^(2) - A^(-14)*v + A^(-14)*v^(3) + A^(-12) - A^(-12)*v^(2) - A^(-10)*v^(3) + A^(-6)*v + A^(-4)
k5.142m	+ A^(4) + A^(6)*v - A^(10)*v^(3) + A^(12) - A^(12)*v^(2) - A^(14)*v + A^(14)*v^(3) - A^(16) + A^(16)*v^(2)
k5.143	- A^(-16) + A^(-12) + A^(-10)*v + A^(-6)*v - A^(-6)*v^(3) + A^(-4) - A^(-4)*v^(2)
