k0.1	1
k4.29m	+ A^(-2)*v - A^(2)*v - A^(2)*v^(3) - A^(4)*v^(2) + A^(6)*v^(3) + A^(8)*v^(2) - A^(10)*v - A^(12)
k4.30	- A^(-6)*v - A^(-4)*v^(2) + A^(-2)*v^(3) + v^(4) - A^(2)*v - 2*A^(4)*v^(2) + A^(8)
k4.30m	+ A^(-8) - 2*A^(-4)*v^(2) - A^(-2)*v + v^(4) + A^(2)*v^(3) - A^(4)*v^(2) - A^(6)*v
k4.31	+ A^(-8) + A^(-6)*v - A^(-4)*v^(2) - A^(-2)*v^(3) + v^(2) + A^(2)*v^(3) - A^(6)*v
k4.31m	- A^(-6)*v + A^(-2)*v^(3) + v^(2) - A^(2)*v^(3) - A^(4)*v^(2) + A^(6)*v + A^(8)
k4.32	+ A^(-2)*v + v^(2) - A^(2)*v - A^(4)*v^(2) + A^(6)*v + A^(8)*v^(2) - A^(12)
k4.32m	- A^(-12) + A^(-8)*v^(2) + A^(-6)*v - A^(-4)*v^(2) - A^(-2)*v + v^(2) + A^(2)*v
k4.33	+ A^(-8) - A^(-8)*v^(2) - 2*A^(-4)*v^(2) + A^(-4)*v^(4) - 2*A^(-2)*v + A^(-2)*v^(3)
k4.33m	- 2*A^(2)*v + A^(2)*v^(3) - 2*A^(4)*v^(2) + A^(4)*v^(4) + A^(8) - A^(8)*v^(2)
k4.34	- A^(-16) + A^(-12) - A^(-8) + A^(-4)*v^(2) + A^(-2)*v
k4.34m	+ A^(2)*v + A^(4)*v^(2) - A^(8) + A^(12) - A^(16)
k4.35	- A^(-16) + A^(-12) + A^(-10)*v - A^(-8) + A^(-8)*v^(2)
k4.35m	- A^(8) + A^(8)*v^(2) + A^(10)*v + A^(12) - A^(16)
k4.36	+ A^(-12) - A^(-12)*v^(2) - A^(-10)*v - A^(-8) + A^(-8)*v^(2) + A^(-6)*v + A^(-4)
k4.36m	+ A^(4) + A^(6)*v - A^(8) + A^(8)*v^(2) - A^(10)*v + A^(12) - A^(12)*v^(2)
k4.37	+ A^(-20) - A^(-16) - A^(-16)*v^(2) - A^(-14)*v + A^(-12)*v^(2) + A^(-10)*v - A^(-8) - A^(-6)*v
k4.37m	- A^(6)*v - A^(8) + A^(10)*v + A^(12)*v^(2) - A^(14)*v - A^(16) - A^(16)*v^(2) + A^(20)
k4.38	+ A^(-8) - 2*A^(-4) + 1 + v^(2) + 2*A^(2)*v - A^(4) - A^(6)*v
k4.38m	- A^(-6)*v - A^(-4) + 2*A^(-2)*v + 1 + v^(2) - 2*A^(4) + A^(8)
k4.39	- A^(-6)*v + A^(-6)*v^(3) - 2*A^(-4)*v^(2) + A^(-4)*v^(4) - A^(-2)*v + 1 - v^(2)
k4.39m	+ 1 - v^(2) - A^(2)*v - 2*A^(4)*v^(2) + A^(4)*v^(4) - A^(6)*v + A^(6)*v^(3)
k4.40	- A^(-12) + A^(-12)*v^(2) - 2*A^(-10)*v + A^(-10)*v^(3) - A^(-8)*v^(2) + A^(-6)*v - A^(-6)*v^(3)
k4.40m	+ A^(6)*v - A^(6)*v^(3) - A^(8)*v^(2) - 2*A^(10)*v + A^(10)*v^(3) - A^(12) + A^(12)*v^(2)
k4.41	+ A^(-20) + A^(-18)*v - A^(-16) - A^(-14)*v + A^(-10)*v - A^(-8) + A^(-8)*v^(2)
k4.41m	- A^(8) + A^(8)*v^(2) + A^(10)*v - A^(14)*v - A^(16) + A^(18)*v + A^(20)
k4.42	+ A^(-14)*v + A^(-12)*v^(2) - A^(-10)*v + A^(-8) - 2*A^(-8)*v^(2) + A^(-4)*v^(2)
k4.42m	+ A^(4)*v^(2) + A^(8) - 2*A^(8)*v^(2) - A^(10)*v + A^(12)*v^(2) + A^(14)*v
k4.43	+ A^(-8)*v^(2) + A^(-6)*v^(3) - A^(-4) - A^(-2)*v^(3) + A^(2)*v
k4.43m	+ A^(-2)*v - A^(2)*v^(3) - A^(4) + A^(6)*v^(3) + A^(8)*v^(2)
k4.44	- A^(-4)*v^(2) + 1 - v^(2) + v^(4) - A^(2)*v + A^(2)*v^(3) - A^(4)*v^(2) - A^(6)*v
k4.44m	- A^(-6)*v - A^(-4)*v^(2) - A^(-2)*v + A^(-2)*v^(3) + 1 - v^(2) + v^(4) - A^(4)*v^(2)
k4.45	- A^(-10)*v + A^(-6)*v^(3) - A^(-4) + A^(-4)*v^(2) - A^(-2)*v^(3) - v^(2)
k4.45m	- v^(2) - A^(2)*v^(3) - A^(4) + A^(4)*v^(2) + A^(6)*v^(3) - A^(10)*v
