0_1	+ 1
6_15s|6_15m	- A^(-24) - A^(-22) + 2*A^(-20) + 2*A^(-18) - 2*A^(-16) - 3*A^(-14) + A^(-12) + 3*A^(-10) + A^(-8) - A^(-6)
6_16|6_16ms	+ A^(-20) - A^(-18) - 3*A^(-16) + 4*A^(-12) + 2*A^(-10) - 2*A^(-8) - 2*A^(-6) + A^(-4) + A^(-2)
6_16s|6_16m	+ A^(2) + A^(4) - 2*A^(6) - 2*A^(8) + 2*A^(10) + 4*A^(12) - 3*A^(16) - A^(18) + A^(20)
6_17|6_17ms	- A^(-18) - A^(-16) + 2*A^(-14) + 3*A^(-12) - A^(-10) - 3*A^(-8) - A^(-6) + 2*A^(-4) + A^(-2)
6_17s|6_17m	+ A^(2) + 2*A^(4) - A^(6) - 3*A^(8) - A^(10) + 3*A^(12) + 2*A^(14) - A^(16) - A^(18)
6_18|6_18ms	+ A^(4) - A^(8) - A^(10) + 2*A^(12) + 2*A^(14) - A^(18) - A^(20)
6_18s|6_18m	- A^(-20) - A^(-18) + 2*A^(-14) + 2*A^(-12) - A^(-10) - A^(-8) + A^(-4)
6_20|6_20ms	+ A^(-2) - 2*A^(2) + A^(4) + 3*A^(6) + A^(8) - 3*A^(10) - 2*A^(12) + A^(14) + A^(16)
6_20s|6_20m	+ A^(-16) + A^(-14) - 2*A^(-12) - 3*A^(-10) + A^(-8) + 3*A^(-6) + A^(-4) - 2*A^(-2) + A^(2)
6_21|6_21ms	+ A^(8) + A^(10) - A^(12) - 2*A^(14) + 2*A^(16) + 3*A^(18) - 3*A^(22) - A^(24) + A^(26)
6_21s|6_21m	+ A^(-26) - A^(-24) - 3*A^(-22) + 3*A^(-18) + 2*A^(-16) - 2*A^(-14) - A^(-12) + A^(-10) + A^(-8)
6_22|6_22ms	+ A^(-8) - A^(-6) - 2*A^(-4) + A^(-2) + 4 + A^(2) - 3*A^(4) - 2*A^(6) + A^(8) + A^(10)
6_22s|6_22m	+ A^(-10) + A^(-8) - 2*A^(-6) - 3*A^(-4) + A^(-2) + 4 + A^(2) - 2*A^(4) - A^(6) + A^(8)
6_24|6_24ms	+ A^(-10) + A^(-8) - 2*A^(-6) - 3*A^(-4) + 4 + 2*A^(2) - A^(4) - A^(6)
6_24s|6_24m	- A^(-6) - A^(-4) + 2*A^(-2) + 4 - 3*A^(4) - 2*A^(6) + A^(8) + A^(10)
6_26|6_26ms	- A^(6) + A^(8) + 2*A^(10) + A^(12) - 2*A^(14) - A^(16) + 2*A^(18) + A^(20) - A^(22) - A^(24)
6_26s|6_26m	- A^(-24) - A^(-22) + A^(-20) + 2*A^(-18) - A^(-16) - 2*A^(-14) + A^(-12) + 2*A^(-10) + A^(-8) - A^(-6)
